event,gender,count,percentage
GeoBeer #19,female,15,33.33333333333333
GeoBeer #19,male,30,66.66666666666666
GeoBeer #20,female,29,28.999999999999996
GeoBeer #20,male,71,71
GeoBeer #21,female,7,20.588235294117645
GeoBeer #21,male,27,79.41176470588235
GeoBeer #22,female,9,21.428571428571427
GeoBeer #22,male,33,78.57142857142857
GeoBeer #23,female,23,38.983050847457626
GeoBeer #23,male,36,61.016949152542374
GeoBeer #24,female,17,24.285714285714285
GeoBeer #24,male,53,75.71428571428571
GeoBeer #25,female,11,28.205128205128204
GeoBeer #25,male,28,71.7948717948718
GeoBeer #26,female,13,26.53061224489796
GeoBeer #26,male,36,73.46938775510205
GeoBeer #27,female,6,17.142857142857142
GeoBeer #27,male,29,82.85714285714286
GeoBeer #28,female,29,39.189189189189186
GeoBeer #28,male,45,60.810810810810814
