event,gender,count,percentage
GeoBeer #10,female,31,30.392156862745097
GeoBeer #10,male,71,69.6078431372549
GeoBeer #11,female,23,26.436781609195403
GeoBeer #11,male,64,73.5632183908046
GeoBeer #12,female,25,27.77777777777778
GeoBeer #12,male,65,72.22222222222221
GeoBeer #13,female,42,27.450980392156865
GeoBeer #13,male,111,72.54901960784314
GeoBeer #14,female,56,39.71631205673759
GeoBeer #14,male,85,60.28368794326241
GeoBeer #15,female,6,21.428571428571427
GeoBeer #15,male,22,78.57142857142857
GeoBeer #16,female,23,36.507936507936506
GeoBeer #16,male,40,63.49206349206349
GeoBeer #17,female,14,23.728813559322035
GeoBeer #17,male,45,76.27118644067797
GeoBeer #18,female,16,30.76923076923077
GeoBeer #18,male,36,69.23076923076923
GeoBeer #7,female,14,31.11111111111111
GeoBeer #7,male,31,68.88888888888889
GeoBeer #8,female,17,21.794871794871796
GeoBeer #8,male,61,78.2051282051282
GeoBeer #9,female,8,22.22222222222222
GeoBeer #9,male,28,77.77777777777779
GeoBeer #19,female,15,33.33333333333333
GeoBeer #19,male,30,66.66666666666666
GeoBeer #20,female,29,29.292929292929294
GeoBeer #20,male,70,70.70707070707071
GeoBeer #21,female,7,20.588235294117645
GeoBeer #21,male,27,79.41176470588235
GeoBeer #22,female,9,21.951219512195124
GeoBeer #22,male,32,78.04878048780488
GeoBeer #23,female,23,39.6551724137931
GeoBeer #23,male,35,60.3448275862069
GeoBeer #24,female,17,24.285714285714285
GeoBeer #24,male,53,75.71428571428571
GeoBeer #25,female,11,28.205128205128204
GeoBeer #25,male,28,71.7948717948718
GeoBeer #26,female,13,26.53061224489796
GeoBeer #26,male,36,73.46938775510205
GeoBeer #27,female,6,17.142857142857142
GeoBeer #27,male,29,82.85714285714286
GeoBeer #28,female,29,39.189189189189186
GeoBeer #28,male,45,60.810810810810814
GeoBeer #29,female,8,21.052631578947366
GeoBeer #29,male,30,78.94736842105263
GeoBeer #30,female,12,24.489795918367346
GeoBeer #30,male,37,75.51020408163265
